S.No.,Benchmark Name,Variables,Clauses,Size of sampling set,Time for 1000 samples(t1),Time for subsequent 9000 samples(t2),Speedup(t1*9/t2)
1,or-50-5-10-UC-40,100,250,100,0.36,3.08,1.05
2,or-50-10-1-UC-40,100,250,100,0.37,3.15,1.06
3,or-60-10-4-UC-40,120,300,120,0.43,3.65,1.06
4,or-50-5-10-UC-30,100,250,100,0.38,3.22,1.06
5,or-50-5-1-UC-30,100,250,100,0.4,3.37,1.07
6,or-50-10-7-UC-40,100,250,100,0.36,3.03,1.07
7,blockmap_05_01.net,1411,2737,1411,3.88,32.3,1.08
8,or-100-5-4-UC-50,200,500,200,0.62,5.1,1.09
9,or-50-5-8-UC-40,100,250,100,0.38,3.12,1.1
10,or-60-5-2-UC-40,120,300,120,0.44,3.6,1.1
11,or-50-5-1-UC-40,100,250,100,0.38,3.08,1.11
12,or-60-5-9-UC-30,120,300,120,0.46,3.71,1.12
13,or-100-10-1-UC-60,200,500,200,0.64,5.15,1.12
14,or-100-10-1-UC-50,200,500,200,0.67,5.36,1.13
15,or-60-5-9-UC-40,120,300,120,0.47,3.73,1.13
16,or-60-5-1-UC-40,120,300,120,0.49,3.86,1.14
17,or-50-5-4-UC-40,100,250,100,0.48,3.77,1.15
18,or-70-5-1-UC-40,140,350,140,0.53,4.15,1.15
19,or-100-10-1-UC-40,200,500,200,0.66,5.16,1.15
20,or-60-5-6-UC-40,120,300,120,0.48,3.75,1.15
21,blockmap_05_02.net,1738,3452,1738,5.26,41.03,1.15
22,or-100-10-4-UC-60,200,500,200,0.65,5.07,1.15
23,or-50-5-9-UC-40,100,250,100,0.39,3.03,1.16
24,or-50-5-8-UC-30,100,250,100,0.41,3.18,1.16
25,or-70-5-5-UC-40,140,350,140,0.52,4.03,1.16
26,or-60-10-4-UC-30,120,300,120,0.49,3.79,1.16
27,or-50-5-5-UC-40,100,250,100,0.41,3.17,1.16
28,or-50-5-2-UC-30,100,250,100,0.44,3.4,1.16
29,or-60-5-6-UC-30,120,300,120,0.47,3.61,1.17
30,or-50-10-1-UC-30,100,250,100,0.41,3.14,1.18
31,or-70-5-6-UC-40,140,350,140,0.51,3.9,1.18
32,or-100-5-4-UC-60,200,500,200,0.69,5.26,1.18
33,or-100-5-4-UC-40,200,500,200,0.73,5.54,1.19
34,or-70-5-2-UC-40,140,350,140,0.53,4.02,1.19
35,or-100-10-4-UC-50,200,500,200,0.68,5.15,1.19
36,or-100-10-8-UC-60,200,500,200,0.69,5.18,1.2
37,or-70-10-10-UC-40,140,350,140,0.55,4.11,1.2
38,or-50-10-1-UC-20,100,250,100,0.45,3.33,1.22
39,or-100-5-9-UC-40,200,500,200,0.71,5.25,1.22
40,or-50-5-7-UC-40,100,250,100,0.47,3.47,1.22
41,or-70-5-3-UC-20,140,350,140,0.53,3.91,1.22
42,or-70-10-10-UC-30,140,350,140,0.56,4.13,1.22
43,or-100-5-10-UC-60,200,500,200,0.73,5.38,1.22
44,or-70-5-5-UC-30,140,350,140,0.55,4.05,1.22
45,or-70-5-1-UC-30,140,350,140,0.54,3.97,1.22
46,or-70-5-7-UC-40,140,350,140,0.54,3.97,1.22
47,or-100-10-3-UC-60,200,500,200,0.7,5.11,1.23
48,or-60-5-3-UC-40,120,300,120,0.48,3.5,1.23
49,or-50-10-7-UC-30,100,250,100,0.45,3.28,1.23
50,or-60-5-7-UC-40,120,300,120,0.52,3.78,1.24
51,or-100-10-2-UC-50,200,500,200,0.73,5.3,1.24
52,or-70-10-3-UC-30,140,350,140,0.56,4.06,1.24
53,or-50-5-5-UC-30,100,250,100,0.46,3.33,1.24
54,or-100-10-3-UC-40,200,500,200,0.76,5.5,1.24
55,or-100-10-3-UC-50,200,500,200,0.72,5.21,1.24
56,or-100-10-2-UC-40,200,500,200,0.81,5.84,1.25
57,or-50-5-9-UC-30,100,250,100,0.48,3.46,1.25
58,or-60-5-10-UC-40,120,300,120,0.49,3.53,1.25
59,or-60-5-9-UC-20,120,300,120,0.51,3.65,1.26
60,or-60-10-7-UC-40,120,300,120,0.55,3.93,1.26
61,Bench_blasted_287_1263_case110,287,1263,287,1.14,8.14,1.26
62,or-70-5-7-UC-30,140,350,140,0.57,4.06,1.26
63,or-60-5-6-UC-20,120,300,120,0.53,3.77,1.27
64,or-50-10-10-UC-20,100,250,100,0.46,3.27,1.27
65,or-100-5-7-UC-60,200,500,200,0.73,5.17,1.27
66,or-100-5-10-UC-50,200,500,200,0.73,5.16,1.27
67,or-70-5-9-UC-30,140,350,140,0.58,4.09,1.28
