S.No.,Benchmark,Vars,Clauses,Size of sampling set,Time for 1000 samples,Time for 2000 samples,Time for 4000 samples,Time for 8000 samples,Time for 10000 samples
1,s27_15_7,32,103,5,0.27,0.38,0.57,1,1.23
2,s27_new_3_2,17,31,5,0.31,0.49,0.79,1.4,1.72
3,s298_7_4,223,586,15,0.74,0.88,1.11,1.59,1.8
4,or-50-5-10-UC-30,100,250,100,0.41,0.55,0.98,1.83,2.19
5,or-50-5-2-UC-40,100,250,100,0.41,0.6,0.96,1.82,2.2
6,or-50-5-10-UC-40,100,250,100,0.41,0.58,1.05,1.81,2.21
7,or-50-5-2-UC-30,100,250,100,0.37,0.58,0.99,1.8,2.22
8,or-50-5-1-UC-40,100,250,100,0.35,0.56,0.98,1.8,2.23
9,s298_15_7,292,870,15,1.34,1.46,1.59,2.03,2.23
10,or-50-5-1-UC-30,100,250,100,0.37,0.58,1,1.86,2.31
11,or-50-10-1-UC-40,100,250,100,0.37,0.56,0.98,1.79,2.32
12,or-50-10-7-UC-40,100,250,100,0.38,0.6,1.01,1.93,2.32
13,or-50-5-10-UC-20,100,250,100,0.5,0.7,1.08,1.94,2.32
14,fs-01.net,32,38,32,0.41,0.63,1.08,2.42,2.33
15,or-50-10-10-UC-30,100,250,100,0.37,0.68,1.15,1.93,2.37
16,or-50-10-8-UC-20,100,250,100,0.42,0.68,1.2,2.19,2.4
17,or-50-10-1-UC-30,100,250,100,0.39,0.61,1.06,1.96,2.41
18,or-60-10-4-UC-40,120,300,120,0.42,0.64,1.12,2.19,2.41
19,s1488_15_7,941,2783,12,0.44,0.62,1.16,1.83,2.45
20,or-50-10-1-UC-20,100,250,100,0.45,0.66,1.11,2.02,2.49
21,or-50-5-5-UC-40,100,250,100,0.4,0.62,1.14,1.92,2.49
22,or-50-10-10-UC-40,100,250,100,0.4,0.64,1.12,2.13,2.54
23,or-50-5-5-UC-30,100,250,100,0.42,0.64,1.17,2.09,2.56
24,s1488_3_2,854,2423,12,0.49,0.73,1.29,2.34,2.56
25,or-50-5-9-UC-40,100,250,100,0.43,0.71,1.14,2.09,2.58
26,or-50-10-8-UC-30,100,250,100,0.45,0.67,1.12,2.16,2.59
27,or-50-5-8-UC-40,100,250,100,0.4,0.63,1.15,2.32,2.6
28,or-50-10-10-UC-20,100,250,100,0.43,0.71,1.16,2.14,2.62
29,or-50-5-7-UC-40,100,250,100,0.4,0.64,1.19,2.18,2.62
30,or-50-5-9-UC-30,100,250,100,0.41,0.65,1.18,2.13,2.62
31,or-60-10-4-UC-30,120,300,120,0.45,0.66,1.17,2.14,2.65
32,or-50-5-4-UC-40,100,250,100,0.43,0.72,1.19,2.14,2.66
33,or-50-5-8-UC-30,100,250,100,0.4,0.7,1.15,2.15,2.73
34,or-60-5-2-UC-40,120,300,120,0.4,0.69,1.21,2.17,2.74
35,or-50-5-7-UC-30,100,250,100,0.48,0.71,1.24,2.21,2.75
36,or-50-10-8-UC-40,100,250,100,0.47,0.68,1.17,2.2,2.78
37,or-50-10-7-UC-30,100,250,100,0.49,0.72,1.19,2.32,2.8
38,or-50-5-1-UC-20,100,250,100,0.7,0.98,1.41,2.4,2.81
39,or-60-5-1-UC-40,120,300,120,0.46,0.72,1.21,2.28,2.81
40,or-50-10-6-UC-40,100,250,100,0.41,0.69,1.21,2.27,2.82
41,or-50-20-7-UC-40,100,250,100,0.51,0.77,1.27,2.37,2.84
42,or-50-10-4-UC-30,100,250,100,0.51,0.78,1.24,2.59,2.88
43,s1488_7_4,872,2499,12,0.5,0.75,1.29,2.2,2.9
44,or-60-5-9-UC-20,120,300,120,0.47,0.85,1.24,2.4,2.91
45,or-60-5-9-UC-30,120,300,120,0.46,0.73,1.31,2.36,2.91
46,or-50-5-7-UC-20,100,250,100,0.86,0.86,1.63,2.64,2.94
47,or-60-10-4-UC-20,120,300,120,0.58,0.86,1.39,2.42,2.94
48,or-60-5-2-UC-30,120,300,120,0.51,0.82,1.38,2.47,2.95
49,or-50-5-4-UC-30,100,250,100,0.75,1.08,1.53,2.45,3
50,or-60-5-9-UC-40,120,300,120,0.64,0.73,1.3,2.43,3.02
51,or-50-20-8-UC-30,100,250,100,0.63,0.9,1.43,2.7,3.08
52,or-50-5-3-UC-30,100,250,100,0.68,0.79,1.4,2.59,3.14
53,or-50-5-6-UC-30,100,250,100,0.49,0.81,1.37,2.56,3.14
54,or-50-5-6-UC-40,100,250,100,0.45,0.73,1.44,2.53,3.14
55,or-50-10-4-UC-40,100,250,100,0.55,0.82,1.4,2.58,3.17
56,or-50-20-8-UC-40,100,250,100,0.49,0.8,1.35,2.56,3.17
57,or-50-5-3-UC-40,100,250,100,0.52,0.84,1.39,2.58,3.17
58,or-60-10-2-UC-40,120,300,120,0.44,0.81,1.38,2.66,3.18
59,or-50-20-7-UC-30,100,250,100,0.69,0.99,1.58,2.65,3.2
60,or-50-5-3-UC-20,100,250,100,0.46,0.8,1.37,2.7,3.2
61,or-60-5-5-UC-20,120,300,120,0.51,0.89,1.45,2.91,3.2
62,or-60-5-10-UC-40,120,300,120,0.55,0.79,1.37,2.6,3.21
63,or-60-5-6-UC-30,120,300,120,0.47,0.77,1.42,2.59,3.21
64,or-50-5-6-UC-20,100,250,100,0.5,0.78,1.4,2.59,3.23
65,or-60-5-1-UC-30,120,300,120,0.6,0.88,1.51,2.63,3.24
66,or-60-5-10-UC-30,120,300,120,0.47,0.79,1.4,2.64,3.28
67,or-50-5-3-UC-10,100,250,100,0.65,1.02,1.54,2.74,3.31
68,or-60-10-2-UC-30,120,300,120,0.51,0.73,1.41,2.4,3.32
69,or-60-5-7-UC-40,120,300,120,0.48,0.81,1.55,2.68,3.32
70,or-50-10-8-UC-10,100,250,100,0.95,1.26,1.79,2.88,3.34
71,or-60-5-3-UC-30,120,300,120,0.49,0.98,1.43,2.66,3.34
72,or-60-5-7-UC-30,120,300,120,0.53,0.85,1.55,2.77,3.34
73,or-60-5-6-UC-20,120,300,120,0.54,0.87,1.35,2.63,3.35
74,or-60-5-6-UC-40,120,300,120,0.55,0.79,1.41,2.59,3.35
75,or-60-5-3-UC-40,120,300,120,0.49,0.8,1.44,2.67,3.36
76,or-50-5-9-UC-20,100,250,100,0.95,1.29,1.81,2.91,3.4
77,or-60-10-7-UC-40,120,300,120,0.5,0.84,1.5,2.85,3.4
78,or-60-5-2-UC-20,120,300,120,0.72,1.02,1.62,2.78,3.4
79,or-50-10-9-UC-30,100,250,100,0.57,0.84,1.53,2.82,3.41
80,or-60-20-9-UC-40,120,300,120,0.51,0.85,1.54,2.88,3.44
81,or-70-5-6-UC-40,140,350,140,0.66,0.81,1.49,2.79,3.44
82,or-50-10-2-UC-20,100,250,100,0.54,0.86,1.55,2.83,3.47
83,or-50-5-8-UC-20,100,250,100,0.94,1.21,1.73,2.75,3.49
84,or-50-10-6-UC-30,100,250,100,0.9,1.12,1.6,3.1,3.51
85,or-50-10-2-UC-40,100,250,100,0.5,0.86,1.53,2.89,3.53
86,or-70-10-10-UC-40,140,350,140,0.52,0.89,1.72,2.88,3.54
87,or-70-5-5-UC-40,140,350,140,0.57,0.91,1.48,3,3.54
88,or-50-5-6-UC-10,100,250,100,0.69,0.98,1.64,2.86,3.55
89,or-60-5-5-UC-40,120,300,120,0.51,0.89,1.53,2.98,3.57
90,or-60-10-7-UC-30,120,300,120,0.67,0.9,1.53,2.85,3.58
91,or-70-10-10-UC-30,140,350,140,0.54,1,1.53,2.61,3.58
92,or-50-20-9-UC-30,100,250,100,0.59,0.93,1.61,2.93,3.6
93,or-50-5-10-UC-10,100,250,100,1.58,1.76,2.18,3.12,3.6
94,or-60-10-9-UC-40,120,300,120,0.52,0.85,1.55,2.94,3.6
95,or-60-5-10-UC-20,120,300,120,1.04,1.24,2.09,3.07,3.6
96,or-70-5-6-UC-30,140,350,140,0.69,1.01,1.68,2.97,3.61
97,or-70-10-9-UC-20,140,350,140,0.71,1.12,1.87,3.2,3.62
98,or-50-10-3-UC-40,100,250,100,0.54,0.91,1.61,3.2,3.63
99,or-60-10-9-UC-30,120,300,120,0.54,0.85,1.56,2.94,3.63
100,or-60-5-5-UC-30,120,300,120,0.54,0.86,1.54,2.86,3.63
101,or-70-5-7-UC-40,140,350,140,0.51,0.88,1.56,2.96,3.63
102,or-60-20-9-UC-30,120,300,120,0.53,0.88,1.59,2.94,3.65
103,or-60-5-7-UC-20,120,300,120,0.67,1.02,1.69,3.03,3.66
104,or-70-10-3-UC-40,140,350,140,0.61,0.86,1.54,3.08,3.66
105,or-50-10-6-UC-20,100,250,100,1.14,1.41,2.04,3.09,3.69
106,or-70-5-8-UC-30,140,350,140,0.56,0.88,1.58,3.17,3.69
107,or-50-5-2-UC-20,100,250,100,1.83,2,2.29,3.32,3.73
108,or-60-5-8-UC-20,120,300,120,0.56,0.97,1.63,3.09,3.73
109,or-70-5-3-UC-40,140,350,140,0.62,0.87,1.53,3.08,3.74
110,or-70-5-1-UC-30,140,350,140,0.54,0.9,1.59,3.07,3.75
111,or-50-10-7-UC-20,100,250,100,1.38,1.73,2.07,3.19,3.76
112,or-70-5-1-UC-40,140,350,140,0.58,0.87,1.6,3.25,3.76
113,or-50-10-4-UC-20,100,250,100,1.11,1.4,1.96,3.27,3.78
114,or-50-5-5-UC-20,100,250,100,1.22,1.51,2.06,3.14,3.78
115,or-60-10-10-UC-30,120,300,120,0.58,0.9,1.58,2.92,3.79
116,or-60-10-6-UC-30,120,300,120,0.64,0.96,1.7,3.01,3.79
117,or-60-5-8-UC-40,120,300,120,0.6,0.9,1.61,3.11,3.79
118,or-50-20-9-UC-40,100,250,100,0.61,0.97,1.8,3.11,3.8
119,or-70-5-3-UC-20,140,350,140,0.56,0.98,1.62,3.03,3.8
120,or-70-10-9-UC-40,140,350,140,0.62,0.97,1.57,3.34,3.81
121,or-70-5-2-UC-40,140,350,140,0.52,0.88,1.59,3.13,3.81
122,or-70-5-3-UC-30,140,350,140,0.61,0.95,1.64,3.1,3.83
