S.No.,Benchmark Name,Variables,Clauses,Compilation Time,A+S (1%),A+S (2%),A+S (3%),A+S (4%),A+S (5%)
1,or-50-10-2,100,250,7.32,95.23,94.7,94.47,94.08,93.91
2,or-50-10-6,100,250,15.36,342.58,339.97,341.09,339.52,337.56
3,or-50-10-8,100,250,26.13,714.06,712.45,708.4,704.14,700.81
4,or-50-20-2,100,250,6.77,112.32,111.56,109.17,111.01,110.63
5,or-50-20-3,100,250,13.47,184.78,187.13,185.68,185.59,185.02
6,or-50-20-7,100,250,23.93,384.9,381.29,383.07,380.76,380.94
7,or-50-5-1,100,250,8.91,154.21,153.62,154.86,153.47,152.91
8,or-50-10-1,100,250,6.52,120.74,119.54,120.36,121.24,NS
9,or-50-10-3,100,250,10.86,188.92,189.89,188.99,188.03,NS
10,or-50-10-4,100,250,24.32,327.52,324.76,323.3,NS,325.81
11,or-50-10-7,100,250,25.69,536,539.7,538.89,NS,538.12
12,or-50-20-4,100,250,2.47,44.43,45.04,44.13,NS,44.49
13,or-50-20-9,100,250,12.56,252.15,252.1,NS,250.57,249.64
14,or-50-5-10,100,250,10.35,130.52,130.83,131.1,NS,130.57
15,or-50-5-3,100,250,9.7,214.3,NS,212.76,213.27,217.74
16,or-50-5-4-UC-10,100,250,6.93,114.27,113.25,114.04,114.39,NS
17,or-50-5-6,100,250,18.62,267.87,266.17,265.03,NS,264.08
18,or-50-5-7,100,250,14.59,340.48,334.4,339.54,NS,336.16
19,or-50-5-8,100,250,33.43,593.01,588.12,586.93,586.74,NS
20,or-50-10-10,100,250,23.07,593.44,587.66,NS,586.24,NS
21,or-50-10-5,100,250,13.7,251.86,250.05,249.8,NS,NS
22,or-50-10-9,100,250,10.95,283.65,283.6,282.82,NS,NS
23,or-50-20-1,100,250,12.31,269.61,273.55,NS,271.58,NS
24,or-50-20-6,100,250,6.62,92.27,91.84,92.95,NS,NS
25,or-50-20-8,100,250,21.08,487.87,489.46,488.54,NS,NS
26,or-50-5-4,100,250,6.25,175.08,175.48,176.96,NS,NS
27,or-50-5-5,100,250,19.24,319.13,317.94,315.15,NS,NS
28,or-50-5-5-UC-10,100,250,3.08,63.06,62.13,62.06,NS,NS
29,or-50-5-7-UC-10,100,250,2.88,33.55,33.17,33.47,NS,NS
30,or-60-20-8,120,300,33.44,1375.21,1364.96,1361.54,NS,NS
31,s27_new_15_7,17,43,0,0.29,0.27,NS,0.28,NS
32,s27_new_7_4,17,35,0,0.27,0.28,NS,0.27,NS
33,or-50-10-4-UC-10,100,250,1.71,13.41,13.22,NS,NS,NS
34,or-50-10-7-UC-10,100,250,5.35,90.29,NS,NS,90.53,NS
35,or-50-20-10,100,250,27.51,493.09,493.58,NS,NS,NS
36,or-50-20-2-UC-10,100,250,14.47,216.89,217.02,NS,NS,NS
37,or-50-20-3-UC-10,100,250,2.16,42.55,42.65,NS,NS,NS
38,or-50-20-5,100,250,14.32,275.22,272.81,NS,NS,NS
39,or-50-20-6-UC-10,100,250,1.08,NS,14.24,14.29,NS,NS
40,or-50-20-9-UC-10,100,250,2.53,40.61,40.19,NS,NS,NS
41,or-50-5-1-UC-10,100,250,0.38,3.23,3.23,NS,NS,NS
42,or-60-10-10-UC-10,120,300,12.62,139.08,138.42,NS,NS,NS
43,or-60-20-7-UC-10,120,300,20.49,640.23,638.05,NS,NS,NS
44,or-60-5-3-UC-10,120,300,15.26,255.6,254.31,NS,NS,NS
45,or-70-10-10-UC-10,140,350,25.25,519.58,514.19,NS,NS,NS
46,or-70-20-4-UC-20,140,350,34.54,978.51,979.31,NS,NS,NS
47,or-70-5-10-UC-20,140,350,0.22,1.51,1.49,NS,NS,NS
48,s27_3_2,20,43,0,0.29,0.28,NS,NS,NS
49,s27_7_4,24,63,0,0.27,0.28,NS,NS,NS
50,s27_new_3_2,17,31,0,0.29,0.29,NS,NS,NS
51,fs-01.net,32,38,0,0.44,NS,NS,NS,NS
52,or-100-10-2-UC-30,200,500,1.69,16.11,NS,NS,NS,NS
53,or-50-10-10-UC-10,100,250,0.06,1.21,NS,NS,NS,NS
54,or-50-10-10-UC-40,100,250,0,0.41,NS,NS,NS,NS
55,or-50-10-2-UC-10,100,250,0.06,0.89,NS,NS,NS,NS
56,or-50-10-2-UC-40,100,250,0,0.42,NS,NS,NS,NS
57,or-50-10-3-UC-10,100,250,0.28,3.36,NS,NS,NS,NS
58,or-50-10-5-UC-10,100,250,0.59,4.45,NS,NS,NS,NS
59,or-50-10-5-UC-30,100,250,0.07,NS,NS,NS,1.13,NS
60,or-50-10-6-UC-10,100,250,0.7,5.53,NS,NS,NS,NS
61,or-50-10-8-UC-10,100,250,0.06,0.76,NS,NS,NS,NS
62,or-50-20-10-UC-10,100,250,0.42,4.66,NS,NS,NS,NS
63,or-50-20-10-UC-20,100,250,0.21,2.39,NS,NS,NS,NS
64,or-50-20-1-UC-10,100,250,6.48,90.58,NS,NS,NS,NS
65,or-50-20-1-UC-30,100,250,0.02,0.76,NS,NS,NS,NS
66,or-50-20-2-UC-20,100,250,1.13,NS,NS,9.93,NS,NS
67,or-50-20-4-UC-20,100,250,0.08,1.26,NS,NS,NS,NS
68,or-50-20-4-UC-40,100,250,0.03,0.83,NS,NS,NS,NS
69,or-50-20-5-UC-40,100,250,0.02,0.75,NS,NS,NS,NS
70,or-50-20-7-UC-10,100,250,0.68,6.93,NS,NS,NS,NS
71,or-50-20-7-UC-20,100,250,0.06,1,NS,NS,NS,NS
72,or-50-20-7-UC-30,100,250,0.02,0.6,NS,NS,NS,NS
73,or-50-5-3-UC-10,100,250,0.02,0.6,NS,NS,NS,NS
74,or-50-5-7-UC-40,100,250,0,0.42,NS,NS,NS,NS
75,or-50-5-8-UC-10,100,250,0.83,NS,6.98,NS,NS,NS
76,or-50-5-8-UC-20,100,250,0.04,0.82,NS,NS,NS,NS
77,or-60-10-10-UC-20,120,300,0.05,1.07,NS,NS,NS,NS
78,or-60-10-1-UC-10,120,300,7.99,121.06,NS,NS,NS,NS
79,or-60-10-2-UC-20,120,300,0.82,9.43,NS,NS,NS,NS
80,or-60-10-3-UC-10,120,300,21.32,NS,535.24,NS,NS,NS
81,or-60-10-4-UC-10,120,300,1.71,16.95,NS,NS,NS,NS
82,or-60-10-5-UC-10,120,300,0.48,4.76,NS,NS,NS,NS
83,or-60-10-6-UC-10,120,300,12.67,343.91,NS,NS,NS,NS
84,or-60-10-7-UC-10,120,300,1.92,14.06,NS,NS,NS,NS
85,or-60-10-8-UC-10,120,300,0.17,1.62,NS,NS,NS,NS
86,or-60-10-9-UC-20,120,300,0.01,NS,0.62,NS,NS,NS
87,or-60-20-10-UC-10,120,300,24.98,462.23,NS,NS,NS,NS
88,or-60-20-1-UC-10,120,300,13.96,260.63,NS,NS,NS,NS
89,or-60-20-1-UC-30,120,300,0.03,0.71,NS,NS,NS,NS
90,or-60-20-4-UC-10,120,300,23.3,420.66,NS,NS,NS,NS
91,or-60-20-4-UC-30,120,300,0.59,6.88,NS,NS,NS,NS
92,or-60-20-5-UC-30,120,300,1.87,27.97,NS,NS,NS,NS
93,or-60-20-7-UC-20,120,300,15.88,NS,261.08,NS,NS,NS
94,or-60-20-8-UC-10,120,300,4.35,NS,64.74,NS,NS,NS
95,or-60-20-9-UC-10,120,300,2.39,NS,39.91,NS,NS,NS
96,or-60-5-10-UC-10,120,300,0.19,1.88,NS,NS,NS,NS
97,or-60-5-1-UC-20,120,300,0.15,1.37,NS,NS,NS,NS
98,or-60-5-2-UC-10,120,300,0.51,NS,10.01,NS,NS,NS
99,or-60-5-4-UC-10,120,300,0.12,1.31,NS,NS,NS,NS
100,or-60-5-6-UC-10,120,300,0.57,15.26,NS,NS,NS,NS
101,or-60-5-7-UC-10,120,300,0.22,2.71,NS,NS,NS,NS
102,or-70-10-10-UC-20,140,350,0.23,2.14,NS,NS,NS,NS
103,or-70-10-1-UC-10,140,350,3.44,31.18,NS,NS,NS,NS
104,or-70-10-5-UC-10,140,350,17.24,NS,286.44,NS,NS,NS
105,or-70-10-5-UC-30,140,350,0.01,0.62,NS,NS,NS,NS
106,or-70-10-6-UC-10,140,350,13.13,169.02,NS,NS,NS,NS
107,or-70-10-6-UC-20,140,350,0.39,5.25,NS,NS,NS,NS
108,or-70-10-9-UC-10,140,350,0.55,9.94,NS,NS,NS,NS
109,or-70-20-10-UC-10,140,350,47.58,799.06,NS,NS,NS,NS
110,or-70-20-3-UC-20,140,350,12.52,376.57,NS,NS,NS,NS
111,or-70-20-3-UC-30,140,350,1.82,47.31,NS,NS,NS,NS
112,or-70-20-5-UC-20,140,350,22.4,342.17,NS,NS,NS,NS
113,or-70-20-5-UC-30,140,350,2.69,29,NS,NS,NS,NS
114,or-70-20-9-UC-10,140,350,0.77,7.06,NS,NS,NS,NS
115,or-70-5-1-UC-10,140,350,7.09,82.53,NS,NS,NS,NS
116,or-70-5-2-UC-40,140,350,0,0.53,NS,NS,NS,NS
117,or-70-5-5-UC-10,140,350,1.54,16.95,NS,NS,NS,NS
118,or-70-5-8-UC-10,140,350,4.43,48.32,NS,NS,NS,NS
119,or-70-5-8-UC-20,140,350,0.53,3.52,NS,NS,NS,NS
120,or-70-5-9-UC-10,140,350,0.12,NS,1.88,NS,NS,NS
121,s27_15_7,32,103,0,0.3,NS,NS,NS,NS
122,s298_3_2,205,510,0.01,0.53,NS,NS,NS,NS
123,s349_15_7,285,829,0.07,0.94,NS,NS,NS,NS
124,s349_3_2,198,469,0.03,0.63,NS,NS,NS,NS
125,s349_7_4,216,545,0.02,0.63,NS,NS,NS,NS
126,s382_7_4,281,711,0.02,0.69,NS,NS,NS,NS
127,Bench_blasted_287_1263_case110,287,1263,0.04,NS,NS,NS,NS,NS
128,blasted_case121,291,975,0.13,NS,NS,NS,NS,NS
129,blasted_case_1_b11_1,340,1026,112.57,NS,NS,NS,NS,NS
130,blasted_case_2_b12_2,827,2725,4.98,NS,NS,NS,NS,NS
131,blasted_case35,400,1414,0.57,NS,NS,NS,NS,NS
132,blasted_squaring10,1099,3632,1393.8,MO,MO,MO,MO,MO
133,blasted_squaring12,1507,5210,MO,MO,MO,MO,MO,MO
134,blasted_squaring14,1458,5009,MO,MO,MO,MO,MO,MO
135,blasted_squaring16,1627,5835,MO,MO,MO,MO,MO,MO
136,blasted_squaring1,891,2839,MO,MO,MO,MO,MO,MO
137,blasted_squaring7,1628,5837,TO,MO,MO,MO,MO,MO
138,blasted_squaring8,1101,3642,TO,MO,MO,MO,MO,MO
139,blasted_squaring9,1434,5028,TO,MO,MO,MO,MO,MO
140,blockmap_05_01.net,1411,2737,0.01,NS,NS,NS,NS,NS
141,blockmap_05_02.net,1738,3452,0.04,NS,NS,NS,NS,NS
142,enqueueSeqSK.sk_10_42,16466,58515,MO,-,-,-,-,-
143,karatsuba.sk_7_41,19594,82417,MO,-,-,-,-,-
144,lang12,576,13584,1521.58,MO,MO,MO,MO,MO
145,LoginService2.sk_23_36,11511,41411,1834.85,MO,MO,MO,MO,MO
146,or-100-10-10,200,500,MO,-,-,-,-,-
147,or-100-10-10-UC-10,200,500,MO,-,-,-,-,-
148,or-100-10-10-UC-20,200,500,0.14,NS,NS,NS,NS,NS
149,or-100-10-10-UC-30,200,500,0.03,NS,NS,NS,NS,NS
150,or-100-10-10-UC-40,200,500,0,NS,NS,NS,NS,NS
151,or-100-10-10-UC-50,200,500,0,NS,NS,NS,NS,NS
152,or-100-10-10-UC-60,200,500,0,NS,NS,NS,NS,NS
153,or-100-10-1,200,500,MO,-,-,-,-,-
154,or-100-10-1-UC-10,200,500,481.66,MO,MO,MO,MO,MO
155,or-100-10-1-UC-20,200,500,0.73,NS,NS,NS,NS,NS
156,or-100-10-1-UC-30,200,500,0.02,NS,NS,NS,NS,NS
157,or-100-10-1-UC-40,200,500,0,NS,NS,NS,NS,NS
158,or-100-10-1-UC-50,200,500,0,NS,NS,NS,NS,NS
159,or-100-10-1-UC-60,200,500,0,NS,NS,NS,NS,NS
160,or-100-10-2,200,500,MO,-,-,-,-,-
161,or-100-10-2-UC-10,200,500,MO,-,-,-,-,-
162,or-100-10-2-UC-20,200,500,8.04,NS,NS,NS,NS,NS
163,or-100-10-2-UC-40,200,500,0.01,NS,NS,NS,NS,NS
164,or-100-10-2-UC-50,200,500,0,NS,NS,NS,NS,NS
165,or-100-10-2-UC-60,200,500,0,NS,NS,NS,NS,NS
166,or-100-10-3,200,500,TO,-,-,-,-,-
167,or-100-10-3-UC-10,200,500,MO,-,-,-,-,-
168,or-100-10-3-UC-20,200,500,38.55,NS,NS,NS,NS,NS
169,or-100-10-3-UC-30,200,500,0.31,NS,NS,NS,NS,NS
170,or-100-10-3-UC-40,200,500,0,NS,NS,NS,NS,NS
171,or-100-10-3-UC-50,200,500,0,NS,NS,NS,NS,NS
172,or-100-10-3-UC-60,200,500,0,NS,NS,NS,NS,NS
173,or-100-10-4,200,500,TO,-,-,-,-,-
174,or-100-10-4-UC-10,200,500,MO,-,-,-,-,-
175,or-100-10-4-UC-20,200,500,14.62,NS,NS,NS,NS,NS
176,or-100-10-4-UC-30,200,500,0.22,NS,NS,NS,NS,NS
177,or-100-10-4-UC-40,200,500,0.02,NS,NS,NS,NS,NS
178,or-100-10-4-UC-50,200,500,0,NS,NS,NS,NS,NS
179,or-100-10-4-UC-60,200,500,0,NS,NS,NS,NS,NS
180,or-100-10-5,200,500,TO,-,-,-,-,-
181,or-100-10-5-UC-10,200,500,MO,-,-,-,-,-
182,or-100-10-5-UC-20,200,500,18.78,NS,NS,NS,NS,NS
183,or-100-10-5-UC-30,200,500,1.8,NS,NS,NS,NS,NS
184,or-100-10-5-UC-40,200,500,0.07,NS,NS,NS,NS,NS
185,or-100-10-5-UC-50,200,500,0.01,NS,NS,NS,NS,NS
186,or-100-10-5-UC-60,200,500,0,NS,NS,NS,NS,NS
187,or-100-10-6,200,500,MO,-,-,-,-,-
188,or-100-10-6-UC-10,200,500,MO,-,-,-,-,-
189,or-100-10-6-UC-20,200,500,6.12,NS,NS,NS,NS,NS
190,or-100-10-6-UC-30,200,500,0.27,NS,NS,NS,NS,NS
191,or-100-10-6-UC-40,200,500,0,NS,NS,NS,NS,NS
192,or-100-10-6-UC-50,200,500,0,NS,NS,NS,NS,NS
193,or-100-10-6-UC-60,200,500,0,NS,NS,NS,NS,NS
194,or-100-10-7,200,500,MO,-,-,-,-,-
195,or-100-10-7-UC-10,200,500,MO,-,-,-,-,-
196,or-100-10-7-UC-20,200,500,10.07,NS,NS,NS,NS,NS
197,or-100-10-7-UC-30,200,500,0.21,NS,NS,NS,NS,NS
198,or-100-10-7-UC-40,200,500,0.08,NS,NS,NS,NS,NS
199,or-100-10-7-UC-50,200,500,0.01,NS,NS,NS,NS,NS
200,or-100-10-7-UC-60,200,500,0,NS,NS,NS,NS,NS
201,or-100-10-8,200,500,MO,-,-,-,-,-
202,or-100-10-8-UC-10,200,500,MO,-,-,-,-,-
203,or-100-10-8-UC-20,200,500,7.92,NS,NS,NS,NS,NS
204,or-100-10-8-UC-30,200,500,0.82,NS,NS,NS,NS,NS
205,or-100-10-8-UC-40,200,500,0.02,NS,NS,NS,NS,NS
206,or-100-10-8-UC-50,200,500,0.01,NS,NS,NS,NS,NS
207,or-100-10-8-UC-60,200,500,0,NS,NS,NS,NS,NS
208,or-100-10-9,200,500,MO,-,-,-,-,-
209,or-100-10-9-UC-10,200,500,MO,-,-,-,-,-
210,or-100-10-9-UC-20,200,500,MO,MO,MO,MO,MO,MO
211,or-100-10-9-UC-30,200,500,5.16,NS,NS,NS,NS,NS
212,or-100-10-9-UC-40,200,500,0.4,NS,NS,NS,NS,NS
213,or-100-10-9-UC-50,200,500,0.01,NS,NS,NS,NS,NS
214,or-100-10-9-UC-60,200,500,0,NS,NS,NS,NS,NS
215,or-100-20-10,200,500,TO,-,-,-,-,-
216,or-100-20-10-UC-10,200,500,MO,-,-,-,-,-
217,or-100-20-10-UC-20,200,500,60.75,MO,MO,MO,MO,MO
218,or-100-20-10-UC-30,200,500,17.17,NS,NS,NS,NS,NS
219,or-100-20-10-UC-40,200,500,3.77,NS,NS,NS,NS,NS
220,or-100-20-10-UC-50,200,500,0.19,NS,NS,NS,NS,NS
221,or-100-20-10-UC-60,200,500,0.03,NS,NS,NS,NS,NS
222,or-100-20-1,200,500,MO,-,-,-,-,-
223,or-100-20-1-UC-10,200,500,TO,-,-,-,-,-
224,or-100-20-1-UC-20,200,500,MO,-,-,-,-,-
225,or-100-20-1-UC-30,200,500,MO,-,-,-,-,-
226,or-100-20-1-UC-40,200,500,0.3,NS,NS,NS,NS,NS
227,or-100-20-1-UC-50,200,500,0.01,NS,NS,NS,NS,NS
228,or-100-20-1-UC-60,200,500,0.01,NS,NS,NS,NS,NS
229,or-100-20-2,200,500,TO,-,-,-,-,-
230,or-100-20-2-UC-10,200,500,MO,-,-,-,-,-
231,or-100-20-2-UC-20,200,500,167.71,MO,MO,MO,MO,MO
232,or-100-20-2-UC-30,200,500,12.69,NS,NS,NS,NS,NS
233,or-100-20-2-UC-40,200,500,0.07,NS,NS,NS,NS,NS
234,or-100-20-2-UC-50,200,500,65.57,MO,MO,MO,MO,MO
235,or-100-20-2-UC-60,200,500,7.6,NS,NS,NS,NS,NS
236,or-100-20-3,200,500,MO,-,-,-,-,-
237,or-100-20-3-UC-10,200,500,MO,-,-,-,-,-
238,or-100-20-3-UC-20,200,500,MO,-,-,-,-,-
239,or-100-20-3-UC-30,200,500,95.07,MO,MO,MO,MO,MO
240,or-100-20-3-UC-40,200,500,5.77,NS,NS,NS,NS,NS
241,or-100-20-3-UC-50,200,500,0,NS,NS,NS,NS,NS
242,or-100-20-3-UC-60,200,500,0,NS,NS,NS,NS,NS
243,or-100-20-4,200,500,MO,-,-,-,-,-
244,or-100-20-4-UC-10,200,500,TO,-,-,-,-,-
245,or-100-20-4-UC-20,200,500,34.57,NS,NS,NS,NS,NS
246,or-100-20-4-UC-30,200,500,MO,MO,MO,MO,MO,MO
247,or-100-20-4-UC-40,200,500,1.91,NS,NS,NS,NS,NS
248,or-100-20-4-UC-50,200,500,0.19,NS,NS,NS,NS,NS
249,or-100-20-4-UC-60,200,500,0.04,NS,NS,NS,NS,NS
250,or-100-20-5,200,500,TO,-,-,-,-,-
251,or-100-20-5-UC-10,200,500,MO,-,-,-,-,-
252,or-100-20-5-UC-20,200,500,166.27,MO,MO,MO,MO,MO
253,or-100-20-5-UC-30,200,500,7.32,NS,NS,NS,NS,NS
254,or-100-20-5-UC-40,200,500,0.27,NS,NS,NS,NS,NS
255,or-100-20-5-UC-50,200,500,0.04,NS,NS,NS,NS,NS
256,or-100-20-5-UC-60,200,500,0.01,NS,NS,NS,NS,NS
257,or-100-20-6,200,500,TO,-,-,-,-,-
258,or-100-20-6-UC-10,200,500,MO,-,-,-,-,-
259,or-100-20-6-UC-20,200,500,290.09,MO,MO,MO,MO,MO
260,or-100-20-6-UC-30,200,500,8.51,NS,NS,NS,NS,NS
261,or-100-20-6-UC-40,200,500,0.48,NS,NS,NS,NS,NS
262,or-100-20-6-UC-50,200,500,0.16,NS,NS,NS,NS,NS
263,or-100-20-6-UC-60,200,500,0,NS,NS,NS,NS,NS
264,or-100-20-7,200,500,MO,-,-,-,-,-
265,or-100-20-7-UC-10,200,500,MO,-,-,-,-,-
266,or-100-20-7-UC-20,200,500,147.05,MO,MO,MO,MO,MO
267,or-100-20-7-UC-30,200,500,2.99,NS,NS,NS,NS,NS
268,or-100-20-7-UC-40,200,500,5.78,NS,NS,NS,NS,NS
269,or-100-20-7-UC-50,200,500,0.26,NS,NS,NS,NS,NS
270,or-100-20-7-UC-60,200,500,0.01,NS,NS,NS,NS,NS
271,or-100-20-8,200,500,TO,-,-,-,-,-
272,or-100-20-8-UC-10,200,500,MO,-,-,-,-,-
273,or-100-20-8-UC-20,200,500,95.75,MO,MO,MO,MO,MO
274,or-100-20-8-UC-30,200,500,16.2,NS,NS,NS,NS,NS
